,price,bedrooms
16098,545000.0,3
16126,585000.0,3
16148,621000.0,3
16175,682500.0,4
16182,695000.0,3
16202,720000.0,4
16226,760000.0,4
16244,786500.0,4
16250,797000.0,4
16253,800000.0,3
16264,821000.0,3
16286,875000.0,4
16316,930000.0,4
16341,1005000.0,4
16345,1030000.0,4
16373,1151000.0,3
16389,1218000.0,4
16404,1280000.0,4
16410,1320000.0,3
16420,1380000.0,4
16531,1290000.0,4
16727,450000.0,3
16794,544000.0,3
16829,578000.0,3
16894,655000.0,3
16896,657000.0,3
16990,860000.0,4
17004,890000.0,4
17050,1105000.0,4
17063,1200000.0,4
17366,575000.0,4
17405,624000.0,4
17491,761000.0,4
17541,955000.0,5
17580,1230000.0,5
17903,585000.0,4
17910,596000.0,5
17931,626000.0,3
17948,668000.0,4
17960,690000.0,4
17975,713500.0,4
18000,760000.0,4
18017,800000.0,4
18050,870000.0,4
18061,907500.0,4
18119,1206000.0,3
18372,547500.0,3
18408,602000.0,3
18439,650000.0,4
18471,698000.0,4
18528,855000.0,4
18539,905000.0,4
18593,1300000.0,5
18855,495000.0,2
18861,500000.0,3
18893,535000.0,3
18917,565000.0,3
18957,612500.0,2
18971,635000.0,4
19013,700000.0,4
19038,735000.0,4
19040,735000.0,3
19043,736000.0,4
19052,760000.0,4
19090,842000.0,3
19113,880000.0,4
19200,1200000.0,4
19349,427000.0,3
19359,467000.0,3
19379,516000.0,3
19382,525000.0,2
19392,552500.0,3
19414,593000.0,3
19460,665000.0,3
19464,670000.0,3
19523,785000.0,4
19528,791500.0,4
19553,850000.0,4
19571,885000.0,4
19587,910000.0,3
19656,1150000.0,4
19672,1208000.0,5
19829,800000.0,4
19830,830000.0,4
20045,480000.0,3
20149,619000.0,3
20176,650000.0,3
20183,655000.0,3
20199,680000.0,4
20411,1963000.0,4
20600,440000.0,3
20603,440000.0,3
20609,446000.0,3
20613,455000.0,3
20621,480000.0,3
20665,560000.0,3
20666,561000.0,3
20677,580000.0,3
20691,600000.0,3
20713,632000.0,3
20789,720000.0,4
20864,920000.0,5
20871,950000.0,5
20872,950000.0,3
20875,964300.0,4
20917,1350000.0,4
21059,372000.0,3
21087,432000.0,2
21132,505000.0,3
21163,555000.0,3
21212,615000.0,3
21223,625000.0,3
21311,760000.0,4
21328,792000.0,4
21339,820000.0,4
21350,857500.0,4
21355,875000.0,3
21574,376000.0,3
21662,538000.0,3
21675,573288.0,4
21678,575000.0,3
21776,700500.0,3
21801,750000.0,5
21822,790000.0,4
21853,885000.0,4
21889,1153000.0,5
22186,465000.0,3
22231,510000.0,3
22285,580000.0,3
22307,603000.0,3
22345,650000.0,4
22378,687000.0,3
22408,731000.0,5
22436,790000.0,4
22465,840000.0,5
22473,850500.0,3
22507,935000.0,3
22531,1070000.0,4
22571,1350000.0,5
22758,539000.0,3
22764,550000.0,3
22792,610000.0,4
22843,670000.0,3
22881,735000.0,3
22892,755000.0,4
22908,785000.0,4
22921,805000.0,4
22944,855000.0,4
22968,920000.0,4
23048,1182000.0,4
23050,1190000.0,4
23053,1200000.0,3
23256,772500.0,4
23472,507000.0,3
23474,510000.0,3
23524,560000.0,3
23586,620000.0,3
23606,640500.0,3
23626,665000.0,4
23636,675000.0,4
23743,850000.0,3
23809,1090000.0,5
23814,1100000.0,4
23837,1295000.0,4
24030,443000.0,3
24053,485000.0,3
24091,541000.0,3
24134,606000.0,3
24156,640000.0,4
24192,685000.0,3
24239,775000.0,3
24308,1050000.0,5
24552,425000.0,4
24585,470000.0,3
24641,555000.0,3
24650,570000.0,4
24667,580000.0,3
24669,585000.0,3
24681,601500.0,3
24735,675000.0,3
24765,735000.0,3
24766,740000.0,4
24770,760000.0,4
24781,775000.0,4
24793,790000.0,4
24818,865000.0,4
24921,1625000.0,5
25181,522500.0,3
25222,568000.0,3
25231,580000.0,3
25235,585000.0,4
25249,607000.0,4
25253,610000.0,4
25255,615000.0,3
25523,2110000.0,5
25537,2740000.0,5
25795,517000.0,3
25847,580000.0,3
25873,605000.0,3
25914,660000.0,4
25922,672500.0,4
25935,690000.0,4
26015,800000.0,4
26036,836000.0,4
26069,910000.0,4
26333,426000.0,3
26460,632000.0,2
26474,649000.0,4
26529,720000.0,3
26550,745000.0,4
26574,780000.0,3
26584,790000.0,5
26590,795000.0,4
26614,830000.0,3
26616,830000.0,4
26620,835000.0,4
26628,840000.0,3
26641,855000.0,4
26651,868000.0,4
26687,922000.0,4
26688,925000.0,4
26720,998000.0,5
26722,1000000.0,5
26760,1100000.0,4
26770,1120000.0,3
26854,1345000.0,3
26868,1385000.0,3
26929,1770000.0,4
26983,2445000.0,4
27293,433000.0,3
27356,530000.0,3
27410,590000.0,3
27434,615000.0,3
27488,675000.0,4
27522,720000.0,4
27545,760000.0,4
27972,550000.0,4
27975,551000.0,4
28008,585000.0,3
28078,676000.0,4
28138,790000.0,5
28139,790000.0,4
28585,538000.0,3
28632,595000.0,3
28648,610000.0,4
28655,619500.0,4
28663,626000.0,3
28690,660000.0,4
28741,743000.0,3
28744,750000.0,4
28748,760000.0,4
28802,885000.0,4
28893,1580000.0,3
29052,360000.0,1
29135,480000.0,3
29160,510000.0,3
29165,520000.0,3
29211,595000.0,3
29213,595000.0,5
29321,785000.0,4
29339,810000.0,4
29346,825000.0,4
29352,835000.0,4
29378,920000.0,4
29391,981000.0,4
29437,1400000.0,4
29708,480000.0,3
29784,590000.0,3
29796,600000.0,3
29828,630000.0,3
29844,647000.0,3
29856,660000.0,4
29872,680000.0,4
29902,715000.0,4
29907,725000.0,4
29948,800000.0,3
29968,850000.0,4
30029,1070000.0,4
30036,1150000.0,3
30194,467500.0,3
30211,530000.0,3
30230,585000.0,3
30280,711000.0,4
30292,780000.0,4
30310,840000.0,3
30312,845000.0,4
30314,855000.0,3
30334,937500.0,3
30336,940000.0,4
30337,942000.0,4
30340,960000.0,4
30350,1007000.0,2
30355,1020000.0,4
30378,1180000.0,4
30384,1220000.0,5
30385,1220000.0,4
30425,1522500.0,5
30451,1880000.0,5
30688,400000.0,2
30756,490000.0,3
30856,601000.0,3
30946,705100.0,3
30958,725000.0,5
30998,820000.0,3
31072,1300000.0,4
31172,62000.0,4
31247,480000.0,3
31257,500000.0,3
31312,635500.0,4
31331,675000.0,4
31358,750000.0,4
31380,835000.0,4
31384,850000.0,4
31658,477000.0,2
31685,518500.0,3
31689,530000.0,3
31700,545000.0,3
31722,583000.0,3
31728,590000.0,2
31734,600000.0,4
31748,625000.0,4
31767,650000.0,4
31783,680000.0,4
31841,780000.0,4
31859,825000.0,5
31860,830000.0,3
31888,944750.0,3
31912,1100000.0,4
31926,1239000.0,3
32212,583000.0,3
32222,600000.0,4
32252,640000.0,3
32268,660000.0,3
32285,695000.0,4
32300,717000.0,3
32360,850000.0,4
32473,1840000.0,4
32693,410000.0,2
32717,442000.0,3
32758,487000.0,3
32865,600000.0,3
32896,635000.0,3
32901,640000.0,4
32931,660000.0,4
33030,810000.0,4
33275,392500.0,2
33344,560000.0,3
33350,567500.0,3
33391,625000.0,3
33395,632000.0,3
33405,649500.0,3
33406,650000.0,4
33449,720000.0,3
33459,730000.0,3
33471,744000.0,4
33479,750500.0,3
33519,827000.0,4
33533,850000.0,5
33544,865000.0,3
33550,880000.0,4
33568,920000.0,3
33574,930000.0,4
33583,950000.0,4
33634,1132000.0,4
33659,1210000.0,5
33738,1735000.0,4
33759,1925000.0,4
33762,2000000.0,5
33786,2650000.0,4
33865,825000.0,4
34081,420000.0,3
34172,535000.0,3
34228,600000.0,3
34252,628000.0,3
34279,660000.0,4
34284,665000.0,4
34362,765000.0,4
34365,768000.0,4
34729,450000.0,3
34760,495000.0,3
34784,533000.0,3
34801,565000.0,3
34881,660000.0,3
34904,699000.0,3
34918,717000.0,4
34922,729000.0,4
34925,740000.0,4
34927,745000.0,4
34930,749000.0,4
34939,765000.0,4
35031,1080000.0,5
35084,1425000.0,5
35266,415000.0,3
35302,485000.0,3
35351,560000.0,3
35395,627000.0,3
35413,647000.0,3
35414,648000.0,4
35429,665000.0,4
35449,700000.0,4
35462,726000.0,4
35512,860000.0,4
35515,870000.0,3
35608,1640000.0,4
35636,2325000.0,5
35855,481500.0,3
35972,624000.0,4
35991,641000.0,3
36004,668000.0,5
36035,741000.0,4
36048,770000.0,4
36067,800000.0,5
36124,925000.0,4
36482,485000.0,3
